Venue type;Venue category
ATM;ATM
Accessories Store;Shop
Adult Boutique;Shop
Airport;Transportation
Airport Lounge;Transportation
Airport Service;Transportation
Airport Terminal;Transportation
American Restaurant;Restaurant
Arepa Restaurant;Restaurant
Art Gallery;Art
Art Museum;Art
Arts & Crafts Store;Art
Asian Restaurant;Restaurant
Athletics & Sports;Sport
Auto Dealership;Service
Auto Garage;Service
Auto Workshop;Service
Automotive Shop;Shop
BBQ Joint;Restaurant
Bagel Shop;Restaurant
Bakery;Restaurant
Bank;Service
Bar;Bar
Baseball Field;Sport
Basketball Court;Sport
Beach Bar;Bar
Bed & Breakfast;Hotel
Beer Bar;Bar
Beer Store;Shop
Big Box Store;Shop
Bike Rental / Bike Share;Service
Bike Shop;Shop
Bistro;Bar
Boat or Ferry;Transportation
Bookstore;Shop
Border Crossing;Service
Boutique;Shop
Bowling Alley;Amusement
Boxing Gym;Sport
Breakfast Spot;Restaurant
Brewery;Bar
Bridge;Transportation
Bubble Tea Shop;Restaurant
Building;
Burger Joint;Restaurant
Burmese Restaurant;Restaurant
Burrito Place;Restaurant
Bus Line;Transportation
Bus Station;Transportation
Bus Stop;Transportation
Business Service;Service
Butcher;Food store
Café;Restaurant
Cajun / Creole Restaurant;Restaurant
Cambodian Restaurant;Restaurant
Candy Store;Food store
Caribbean Restaurant;Restaurant
Cheese Shop;Food store
Chinese Restaurant;Restaurant
Chocolate Shop;Food store
Church;Religious
Clothing Store;Shop
Cocktail Bar;Bar
Coffee Shop;Restaurant
College Bookstore;Service
College Rec Center;Service
College Theater;Art
Comedy Club;Art
Comfort Food Restaurant;Shop
Concert Hall;Art
Construction & Landscaping;Service
Convenience Store;Food store
Cosmetics Shop;Shop
Costume Shop;Shop
Coworking Space;Service
Creperie;Restaurant
Cuban Restaurant;Restaurant
Cupcake Shop;Restaurant
Cycle Studio;Sport
Dance Studio;Sport
Deli / Bodega;Food store
Department Store;Shop
Dessert Shop;Food store
Dim Sum Restaurant;Restaurant
Diner;Restaurant
Discount Store;Shop
Dive Bar;Bar
Dog Run;Service
Donut Shop;Food store
Drugstore;Shop
Dumpling Restaurant;Restaurant
Duty-free Shop;Shop
