LIEU;CODE POSTAL;REV MÉDIAN INDIV 2005;REV MÉDIAN INDIV 2015;CHG;REV MÉDIAN MÉNAGES 2005;REV MÉDIAN MÉNAGES 2015;CHG;REV MÉDIAN FAM 2005;REV MÉDIAN FAM 2015;CHG
Abitibi-Témiscamingue-Est;J0Y;24318;33633;0,38;51860;66619;0,28;61320;82340;0,34
Abitibi-Témiscamingue-Ouest;J0Z;21307;31702;0,49;44252;61906;0,4;53811;77266;0,44
Ahuntsic;H2B;21584;28657;0,33;35915;46403;0,29;49320;66503;0,35
Ahuntsic;H2C;25554;34344;0,34;40671;53565;0,32;59515;80956;0,36
Ahuntsic;H2M;27478;35049;0,28;46290;58680;0,27;61385;80462;0,31
Ahuntsic;H2N;18000;25432;0,41;36796;50709;0,38;45318;63002;0,39
Ahuntsic;H3L;24551;32076;0,31;39075;50908;0,3;62593;79899;0,28
Albanel;G8M;19833;31688;0,6;44595;57907;0,3;52695;72960;0,38
Alma;G8B;22390;29876;0,33;43340;52235;0,21;56772;70293;0,24
Alma;G8C;32055;43294;0,35;68627;83840;0,22;72657;98406;0,35
Alma;G8E;23805;32604;0,37;54093;63701;0,18;58039;76032;0,31
Amos;J9T;24897;34810;0,4;45944;60294;0,31;59318;84429;0,42
Amqui;G5J;21450;29344;0,37;40727;49579;0,22;54583;72285;0,32
Anjou;H1J;26553;32367;0,22;46763;55186;0,18;58223;71403;0,23
Anjou;H1K;25221;32530;0,29;45748;59465;0,3;59456;76000;0,28
Appalaches;G0R;22363;31408;0,4;43126;55719;0,29;52787;73164;0,39
Asbestos;J1T;20407;25675;0,26;37547;42293;0,13;46149;58064;0,26
Auteuil;H7H;30203;39727;0,32;63824;83978;0,32;71160;95104;0,34
Auteuil;H7J;25110;37993;0,51;62453;81465;0,3;74243;94464;0,27
Auteuil;H7K;31999;39057;0,22;72025;88951;0,24;84118;102369;0,22
Aylmer;J9H;31408;41862;0,33;62170;74823;0,2;72106;93309;0,29
Aylmer;J9J;44623;53748;0,2;99201;100179;0,01;105016;115749;0,1
Baie-Comeau;G4Z;31281;40239;0,29;67547;72624;0,08;81943;94592;0,15
Baie-Comeau;G5C;27904;36132;0,29;55886;64238;0,15;73127;87698;0,2
Baie-Saint-Paul;G3Z;21646;30795;0,42;44097;54741;0,24;54571;74445;0,36
Bas-St-Laurent-Est;G0K;21096;31340;0,49;40584;55068;0,36;48380;70171;0,45
Bas-St-Laurent-Ouest;G0L;20385;29492;0,45;39958;53501;0,34;49062;68403;0,39
Beaconsfield;H9W;36193;46614;0,29;97974;123392;0,26;107626;139026;0,29
Beauceville;G5X;22901;31895;0,39;43397;54832;0,26;53229;73024;0,37
Beauharnois;J6N;23405;32633;0,39;46136;58537;0,27;56863;75578;0,33
Beauport;G1B;30027;41307;0,38;64927;85125;0,31;70223;96210;0,37
Beauport;G1C;29906;39317;0,31;59789;72549;0,21;70643;90979;0,29
Beauport;G1E;22632;32430;0,43;37522;50411;0,34;51829;71960;0,39
Beloeil;J3G;29867;40956;0,37;61183;79345;0,3;71572;95751;0,34
Beloeil;J3H;33315;44634;0,34;69758;89821;0,29;80882;108552;0,34
Black Lake;G6H;22039;29867;0,36;41526;52352;0,26;53648;66773;0,24
Bois-Francs-Nord;J0G;20725;28719;0,39;42098;54187;0,29;50609;68460;0,35
Bois-Francs-Sud;J0H;23613;32783;0,39;46731;61263;0,31;55604;75032;0,35
Boucherville;J4B;37001;48650;0,31;81187;97401;0,2;92670;-;-
Bromont;J2L;29501;41736;0,41;57531;77104;0,34;73689;98481;0,34
Bromptonville;J1C;28350;36345;0,28;56936;68368;0,2;65713;83086;0,26
Brossard;J4W;23346;28405;0,22;52593;63555;0,21;59961;75219;0,25
